Author(s),Title,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,Number of Pages,DATABASE,DOI,"""Big Data"" in Title","""Big Data"" in Abstract","""Big Data"" in Keywords","""Big Data"" in Article Text","""Big Data"" in References",No Abstract,No Keywords,No References
"Trish, Barbara",Big Data under Obama and Trump: The Data-Fueled U.S. Presidency,POLITICS AND GOVERNANCE,2018,6,4,29,38,9,SSCI - PS,10.17645/pag.v6i4.1565,1,1,1,1,1,0,0,0
"van Deursen, Alexander J. A. M.; Mossberger, Karen",Any Thing for Anyone? A New Digital Divide in Internet-of-Things Skills,POLICY AND INTERNET,2018,10,2,122,140,18,SSCI - PS,10.1002/poi3.171,0,0,1,1,1,0,0,0
"Van Puyvelde, Damien; Coulthart, Stephen; Hossain, M. Shahriar",Beyond the buzzword: big data and national security decision-making,INTERNATIONAL AFFAIRS,2017,93,6,1397,1416,NaN,SSCI - IR,10.1093/ia/iix184,1,1,0,1,1,0,1,0
"Washington, Anne L.",Government Information Policy in the Era of Big Data,REVIEW OF POLICY RESEARCH,2014,31,4,319,325,6,"SSCI - PS,SSCI - PA",10.1111/ropr.12081,1,1,1,1,0,0,0,0
"Whang, Taehee; Lammbrau, Michael; Joo, Hyung-min",Talking to Whom? The Changing Audience of North Korean Nuclear Tests,SOCIAL SCIENCE QUARTERLY,2017,98,3,976,992,16,SSCI - PS,10.1111/ssqu.12441,0,1,0,0,0,0,0,0
"White, Patricia; Breckenridge, R. Saylor","Trade-Offs, Limitations, and Promises of Big Data in Social Science Research",REVIEW OF POLICY RESEARCH,2014,31,4,331,338,7,"SSCI - PS,SSCI - PA",10.1111/ropr.12078,1,1,1,1,1,0,0,0
"Williamson, Ben",Knowing public services: Cross-sector intermediaries and algorithmic governance in public sector reform,PUBLIC POLICY AND ADMINISTRATION,2014,29,4,292,312,20,SSCI - PA,10.1177/0952076714529139,0,1,1,1,0,0,0,0
"Yang, Dong; Chen, Pu; Shi, Fuyuan; Wen, Chenggong",Internet Finance: Its Uncertain Legal Foundations and the Role of Big Data in Its Development,EMERGING MARKETS FINANCE AND TRADE,2018,54,4,721,732,11,SSCI - IR,10.1080/1540496X.2016.1278528,1,1,1,1,0,0,0,0
"Yeung, Karen",Algorithmic regulation: A critical interrogation,REGULATION & GOVERNANCE,2018,12,4,505,523,18,"SSCI - PS,SSCI - PA",10.1111/rego.12158,0,1,1,1,1,0,0,0
"Youtie, Jan; Porter, Alan L.; Huang, Ying",Early social science research about Big Data,SCIENCE AND PUBLIC POLICY,2017,44,1,65,74,9,SSCI - PA,10.1093/scipol/scw021,1,1,1,1,1,0,0,0
"Zamith, Rodrigo; Lewis, Seth C.",Content Analysis and the Algorithmic Coder: What Computational Social Science Means for Traditional Modes of Media Analysis,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,307,318,11,SSCI - PS,10.1177/0002716215570576,0,0,0,1,1,0,0,0
"Zeng, Jinghan",China's date with big data: will it strengthen or threaten authoritarian rule?,INTERNATIONAL AFFAIRS,2016,92,6,1443,1462,19,SSCI - IR,10.1111/1468-2346.12750,1,1,0,1,1,0,0,0
"Zhang, Yu; Yu, Feng",Which Socio-Economic Indicators Influence Collective Morality? Big Data Analysis on Online Chinese Social Media,EMERGING MARKETS FINANCE AND TRADE,2018,54,4,792,800,8,SSCI - IR,10.1080/1540496X.2017.1321984,1,0,1,1,0,0,0,0
"Zwitter, Andrej",Big Data and International Relations,ETHICS & INTERNATIONAL AFFAIRS,2015,29,4,377,389,12,"SSCI - PS,SSCI - IR",10.1017/S0892679415000362,1,0,0,1,1,1,1,0
